record_ID,units_sold
212645,14.435531461848441
212646,20.231775064820017
212647,35.35131736806121
212648,27.165074554790213
212649,19.936862917004373
212653,25.88858603286375
212654,39.881741979498116
212657,15.490522397944055
212658,12.960949749225161
212661,177.8327039895369
212662,98.67254378772594
212663,48.62358617161069
212666,85.14998126272927
212667,92.6527567937683
212668,119.2285085953715
212671,47.95741882849365
212672,109.09008728390607
212673,69.67670945350406
212674,400.225937880097
212675,23.392912586631073
212676,9.253563400285213
212677,84.10912142410524
212678,59.17066141947808
212679,39.580338461615895
212681,38.468217059107424
212682,84.30855366433063
212683,27.096930793963978
212686,97.11705421638241
212687,87.1057174162978
212688,32.46961792401125
212689,4.995561765573929
212691,23.17457292688664
212692,51.37706160130549
212693,38.28957852216967
212694,42.666914684464714
212695,37.381242547884895
212696,31.449240466459457
212697,90.73599714931343
212698,32.72005313723381
212699,190.6162483874469
212700,23.050352570713507
212701,13.824066173473375
212702,42.93174583868701
212703,42.80667672901246
212704,34.3589543180216
212705,29.69096073478161
212706,34.01284376603066
212707,36.956618863205364
212709,7.577096845838357
212710,19.520185345830264
212711,36.36259519101877
212712,39.9532985986309
212713,27.20374620289401
212716,26.212432456032587
212717,33.16213714120817
212718,20.62489414072614
212719,27.305517280669513
212721,87.43262281405748
212722,24.4882628701278
212723,151.65942456471768
212724,12.8653130276237
212725,12.22243167820192
212727,31.376896362453927
212728,58.79369974444469
212729,37.80045797563184
212731,37.56615715882142
212732,40.91064360628029
212734,8.523197170245904
212735,7.54013528296925
212736,15.087518339151025
212737,263.83776575787857
212738,218.12851356031382
212739,69.94398620663772
212740,19.671722001315448
212742,83.94352251133985
212743,107.93315878184076
212744,219.1706731616684
212748,240.03202038010784
212749,95.20927120212127
212750,494.4710637499074
212751,60.338419590900315
212752,18.468331681381848
212754,114.66762805699112
212755,77.09721624023433
212756,87.25973488467811
212757,42.67110886050194
212758,64.23631261219728
212759,117.6275765815485
212760,11.463276464885846
212761,78.10465157023846
212763,12.738414697973685
212764,105.46708866092892
212765,86.15711548648187
212767,49.45429682507148
212768,53.580756680592756
212769,70.41270418302783
212772,41.965660370768965
212773,62.38477377012751
212774,31.14926916454248
212775,260.4844471719271
212776,8.56764533747911
212777,7.515977626753091
212778,53.11374087820708
212779,32.15423454008525
212782,47.36406735420025
212783,63.39533981085922
212787,211.02611854644985
212788,116.36024319474716
212789,66.42322734872072
212790,15.908210712671256
212792,93.6027010055004
212793,102.89921502522951
212794,123.41798923556077
212796,155.99986359654113
212797,326.6068203122167
212798,415.986069442763
212799,27.316928345881845
212800,11.712118375276285
212802,92.22490088115995
212803,66.15359898664353
212805,45.93728571801875
212806,63.33547266258663
212807,100.8323857503169
212809,40.83784884878954
212812,34.628800790197175
212816,18.012284799963513
212817,24.67060094046133
212818,35.95992482121032
212819,20.610622964114228
212820,25.24728724205713
212821,29.823833561925532
